eventid,deploylen,taggingdate,deplon,deplat,recdate,reclon,reclat,reclen,reclen_type
100506200,77.0,2005-08-09,-118.42702,32.01695,2005-08-16,-118.81,31.13,,
100506300,70.0,2005-08-09,-118.42495,32.01712,2006-04-13,-114.05,25.98,87.20,SFL
100506400,73.0,2005-08-09,-118.42495,32.01712,2006-06-24,-116.83,30.65,93.50,SFL
100506500,99.0,2005-08-11,-119.02618,31.66678,,,,,
100506600,101.0,2005-08-11,-119.02583,31.6712,2009-03-09,129.466,33.916,190,SFL
100506700,99.5,2005-08-11,-119.02593,31.67063,2006-04-20,-113.95,26.26,120.00,CFL
100506800,113.0,2005-08-11,-119.02593,31.67063,2006-06-08,-114.68,26.35,129.00,SFL
100506900,96.0,2005-08-11,-119.02492,31.6749,2006-06-03,-114.4,26.58,,
100507000,104.0,2005-08-11,-119.022,31.67972,2006-04-13,-114.83,27.06,113.00,SFL
100507100,99.0,2005-11-12,-116.905,31.68333,,,,,
100507200,103.0,2005-11-12,-116.905,31.68333,,,,,
100507400,96.0,2005-11-12,-116.905,31.68333,,,,,
100507600,98.0,2005-11-12,-116.905,31.68333,2006-04-13,-114.83,27.06,104.00,SFL
100507700,103.0,2005-11-12,-116.905,31.68333,,,,,
100507800,98.0,2005-11-12,-116.905,31.68333,,,,,
100507900,98.0,2005-11-12,-116.905,31.68333,2008-10-15,140.6219,41.518,158.9,SFL
100508000,100.0,2005-11-12,-116.905,31.68333,,,,,
100508100,120.0,2005-11-12,-116.905,31.68333,,,,,
100508200,135.0,2005-11-12,-116.905,31.68333,,,,,
100508300,93.0,2005-11-12,-116.905,31.68333,2006-03-28,-112.85,24.63,,
100508400,93.0,2005-11-12,-116.905,31.68333,2006-07-18,140.16,41.08,110.00,SFL
100508500,99.0,2005-11-12,-116.905,31.68333,,,,,
100508600,101.0,2005-11-12,-116.905,31.68333,2006-07-07,-117.3,31.95,110.00,SFL
100508700,96.0,2005-11-12,-116.905,31.68333,,,,,
100508900,106.0,2005-11-12,-116.905,31.68333,2006-04-29,-114.41,26.83,,
100509000,96.0,2005-11-12,-116.905,31.68333,2006-05-22,-114.05,25.9,,
100509100,95.0,2005-11-12,-116.905,31.68333,,,,,
100509300,99.0,2005-11-12,-116.905,31.68333,2007-06-19,-117.55,29,,
100509500,103.0,2005-11-12,-116.905,31.68333,2006-04-12,-113.86,25.46,,
100509600,107.0,2005-11-12,-116.905,31.68333,,,,,
100509700,104.0,2005-11-12,-116.905,31.68333,2006-05-13,-113.8,25.88,104.00,SFL
100509800,101.0,2005-11-12,-116.905,31.68333,,,,,
100510000,100.0,2005-11-12,-116.905,31.68333,2006-04-12,-113.86,25.51,,
100510100,137.0,2005-11-12,-116.905,31.68333,,,,,
100510200,111.0,2005-11-12,-116.905,31.68333,,,,,
100510300,100.0,2005-11-12,-116.905,31.68333,,,,,
100510400,102.0,2005-11-12,-116.905,31.68333,,,,,
100510500,103.0,2005-11-12,-116.905,31.68333,,,,,
100510600,97.0,2005-11-12,-116.905,31.68333,2006-05-13,-113.85,25.9,,
100510700,106.0,2005-11-12,-116.905,31.68333,2006-08-02,-117.7,32.06,122.00,SFL
100510800,99.0,2005-11-12,-116.905,31.68333,2006-07-08,-117.3,31.96,120.00,SFL
100510900,100.0,2005-11-12,-116.905,31.68333,2006-08-02,-117.65,32.05,115.00,SFL
100511000,102.0,2005-11-12,-116.905,31.68333,,,,,
100511100,96.0,2005-11-12,-116.905,31.68333,2006-06-27,-116.88,29.91,,
100511200,98.0,2005-11-12,-116.905,31.68333,2006-07-08,-117.3,31.96,110.00,SFL
100511300,98.0,2005-11-12,-116.905,31.68333,2006-03-27,-112.6,24.61,,
100511400,96.0,2005-11-12,-116.905,31.68333,,,,,
100511500,103.0,2005-11-12,-116.905,31.68333,2006-05-12,-113.91,26.33,,
100511600,93.0,2005-11-12,-116.905,31.68333,,,,,
100511700,119.0,2005-11-12,-116.905,31.68333,,,,,
100511800,147.0,2005-11-12,-116.905,31.68333,2006-05-13,-113.9,25.98,,
100511900,103.0,2005-11-12,-116.905,31.68333,2006-04-12,-113.86,25.46,,
100512000,103.0,2005-11-12,-116.905,31.68333,2006-06-03,-114.42,26.64,131.00,SFL
100514400,127.0,2005-03-09,-116.99732,31.71792,2007-05-01,,,,
100600100,97.0,2006-12-08,-116.905,31.68333,,,,,
100600200,99.0,2006-12-08,-116.905,31.68333,2007-07-28,-116.55,30.3166,116,SFL
100600300,81.0,2006-12-08,-116.905,31.68333,,,,,
100600400,75.0,2006-12-08,-116.905,31.68333,,,,,
100600600,101.0,2006-12-08,-116.905,31.68333,,,,,
100600700,96.0,2006-12-08,-116.905,31.68333,2007-07-11,-117.4166,32.0166,104.7,SFL
100600800,99.0,2006-12-08,-116.905,31.68333,,,,,
100600900,78.0,2006-12-08,-116.905,31.68333,,,,,
100601000,104.0,2006-12-08,-116.905,31.68333,,,,,
100601100,82.0,2006-12-08,-116.905,31.68333,,,,,
100601200,81.0,2006-12-08,-116.905,31.68333,,,,,
100601300,97.0,2006-12-08,-116.905,31.68333,,,,,
100601400,82.5,2006-12-08,-116.905,31.68333,,,,,
100601600,97.0,2006-12-08,-116.905,31.68333,,,,,
100601700,73.0,2006-12-08,-116.905,31.68333,2007-06-14,-113.25,25.87,86,SFL
100601800,78.0,2006-12-08,-116.905,31.68333,,,,,
100601900,78.0,2006-12-08,-116.905,31.68333,,,,,
100602000,79.0,2006-12-08,-116.905,31.68333,,,,,
100602100,99.0,2006-12-08,-116.905,31.68333,2007-07-11,-117.5166,32.0166,,
100602300,99.0,2006-12-08,-116.905,31.68333,,,,,
100602400,93.0,2006-12-08,-116.905,31.68333,,,,,
100602500,101.0,2006-12-08,-116.905,31.68333,,,,,
100602700,82.0,2006-12-08,-116.905,31.68333,,,,,
